"entity_id","league_id","datetime","result","home_name","away_name","home_position","away_position","odd","over_under","date"
2125,106,"2023-09-19 01:50:00",2,Dep.Independiente Medellin,Millonarios,4,11,"0.25","2","2023-09-19"
2126,91,"2023-09-19 03:00:00",2,Pachuca,Santos Laguna,16,10,"0.25","3","2023-09-19"
2127,116,"2023-09-19 10:00:00",2,Yokohama F Marinos,Incheon United FC,2,7,"1","3","2023-09-19"
2128,116,"2023-09-19 10:00:00",2,Ulsan Hyundai,Bangkok Glass,1,5,"1.5","2.75","2023-09-19"
2129,72,"2023-09-19 10:00:00",2,CE Manresa,SCR Pena Deportiva,9,12,"0.5","1.75","2023-09-19"
2130,152,"2023-09-19 10:00:00",2,Leixoes U23,Famalicao U23,7,2,-0.5,"2.75","2023-09-19"
2131,153,"2023-09-19 10:00:00",2,Busan IPark,Ansan Greeners FC,1,12,"1","2.5","2023-09-19"
2132,153,"2023-09-19 10:30:00",2,Cheongju Jikji FC,Seoul E-Land FC,6,11,"0.25","2.25","2023-09-19"
2133,153,"2023-09-19 10:30:00",2,Seongnam FC,Gimcheon Sangmu,9,2,-0.5,"2.5","2023-09-19"
2134,24,"2023-09-19 11:00:00",2,Hamburger SV(Trẻ),Hannover 96 Am,16,6,-0.5,"3.25","2023-09-19"
2135,116,"2023-09-19 12:00:00",2,Johor Darul Takzim,Kawasaki Frontale,1,9,-0.5,"2.75","2023-09-19"
2136,154,"2023-09-19 12:00:00",2,Krasnodar FK,Dinamo Moscow,1,4,"0.5","3","2023-09-19"
2137,116,"2023-09-19 14:00:00",2,Pakhtakor Tashkent,Al Ain,1,2,"0.25","2.25","2023-09-19"
2138,152,"2023-09-19 14:00:00",2,Gil Vicente U23,Vizela U23,4,1,"0","3","2023-09-19"
2139,155,"2023-09-19 14:00:00",2,Sporting Lisbon Sad U23,CD Mafra U23,4,7,"1.25","3","2023-09-19"
2140,61,"2023-09-19 14:00:00",2,HB Torshavn,Vikingur Gotu,3,4,"0.5","2.75","2023-09-19"
2141,156,"2023-09-19 14:00:00",2,Paris Saint Germain(U19),U19 Borussia Dortmund,2,1,"0.75","3.25","2023-09-19"
2142,154,"2023-09-19 14:15:00",2,Baltika,Krylya Sovetov Samara,16,3,"0.25","2.25","2023-09-19"
2143,154,"2023-09-19 14:15:00",2,FK Nizhny Novgorod,Spartak Moscow,10,6,-0.5,"2.5","2023-09-19"
2144,155,"2023-09-19 14:30:00",2,Estrela FC U23,Estoril U23,2,1,"0.25","2.5","2023-09-19"
2145,157,"2023-09-19 15:50:00",2,Al-Jabalain,Jeddah Club,6,9,"0.25","2","2023-09-19"
2146,116,"2023-09-19 15:59:00",2,FC Ahal,Al-Feiha,6,10,-0.75,"2.25","2023-09-19"
2147,116,"2023-09-19 15:59:00",2,FC Istiklol Dushanbe,Al-Duhail,1,3,-1.25,"2.75","2023-09-19"
2148,158,"2023-09-19 16:45:00",2,AC Milan,Newcastle United,3,12,"0","2.5","2023-09-19"
2149,158,"2023-09-19 16:45:00",2,Young Boys,RB Leipzig,2,3,-1,"3","2023-09-19"
2150,159,"2023-09-19 17:00:00",2,FC Augsburg II,SpVgg Bayreuth,12,7,"0","3","2023-09-19"
2151,32,"2023-09-19 17:00:00",2,Mainz Am,TSG Hoffenheim (Trẻ),16,3,-0.5,"3","2023-09-19"
2152,79,"2023-09-19 17:30:00",2,Cape Town Spurs,Lamontville Golden Arrows,16,2,-0.75,"2.25","2023-09-19"
2153,79,"2023-09-19 17:30:00",2,Richards Bay,Chippa United FC,15,13,"0","2","2023-09-19"
2154,79,"2023-09-19 17:30:00",2,Stellenbosch FC,Moroka Swallows,11,8,"0.25","2","2023-09-19"
2155,157,"2023-09-19 17:30:00",2,Al-Arabi,Al Kholood,1,8,"1","2.5","2023-09-19"
2156,157,"2023-09-19 17:30:00",2,Al-Faisaly Harmah,Al-Qadasiya,3,2,"0","2","2023-09-19"
2157,116,"2023-09-19 18:00:00",2,Persepolis,Al-Nassr FC,2,6,-1,"2.75","2023-09-19"
2158,6,"2023-09-19 18:45:00",2,Bristol City,Plymouth Argyle,11,15,"0.5","2.75","2023-09-19"
2159,6,"2023-09-19 18:45:00",2,Cardiff City,Coventry,16,14,"0","2.5","2023-09-19"
2160,6,"2023-09-19 18:45:00",2,Preston North End,Birmingham,1,6,"0.25","2","2023-09-19"
2161,6,"2023-09-19 18:45:00",2,Queens Park Rangers,Swansea City,20,22,"0","2.5","2023-09-19"
2162,6,"2023-09-19 18:45:00",2,Southampton,Ipswich,9,3,"0","3","2023-09-19"
2163,160,"2023-09-19 18:45:00",2,Barnsley,Portsmouth,5,6,"0.25","2.5","2023-09-19"
2164,160,"2023-09-19 18:45:00",2,Peterborough United,Cheltenham Town,12,23,"1.25","2.75","2023-09-19"
2165,160,"2023-09-19 18:45:00",2,Port Vale,Burton Albion FC,2,22,"0.5","2.5","2023-09-19"
2166,161,"2023-09-19 18:45:00",2,Altrincham,Hartlepool United FC,13,6,"0","3","2023-09-19"
2167,161,"2023-09-19 18:45:00",2,Barnet,Aldershot Town,3,15,"1","2.75","2023-09-19"
2168,161,"2023-09-19 18:45:00",2,Chesterfield,Halifax Town,1,10,"0.75","2.75","2023-09-19"
2169,161,"2023-09-19 18:45:00",2,Dagenham and Redbridge,Bromley,14,4,"0","2.25","2023-09-19"
2170,161,"2023-09-19 18:45:00",2,Dorking Wanderers,Wealdstone FC,20,12,"0","3","2023-09-19"
2171,161,"2023-09-19 18:45:00",2,Eastleigh,Oxford City,19,16,"0.25","2.75","2023-09-19"
2172,161,"2023-09-19 18:45:00",2,Gateshead,Kidderminster,8,22,"0.5","2.5","2023-09-19"
2173,161,"2023-09-19 18:45:00",2,Oldham Athletic AFC,York City,23,21,"0.5","2.5","2023-09-19"
2174,161,"2023-09-19 18:45:00",2,Solihull Moors,AFC Fylde,2,24,"0.25","3","2023-09-19"
2175,161,"2023-09-19 18:45:00",2,Southend United,Maidenhead United,9,18,"0.25","2.25","2023-09-19"
2176,161,"2023-09-19 18:45:00",2,Woking,Ebbsfleet United,5,11,"0.75","2.75","2023-09-19"
2177,161,"2023-09-19 18:45:00",2,Boreham Wood,Rochdale,17,7,"0","2.25","2023-09-19"
2178,158,"2023-09-19 19:00:00",2,Feyenoord Rotterdam,Celtic,4,1,"1","2.75","2023-09-19"
2179,158,"2023-09-19 19:00:00",2,Lazio,Atletico Madrid,15,7,"0","2.25","2023-09-19"
2180,158,"2023-09-19 19:00:00",2,Paris Saint Germain,Borussia Dortmund,5,7,"0.75","3.25","2023-09-19"
2181,158,"2023-09-19 19:00:00",2,Manchester City,Crvena Zvezda,1,3,"3","4","2023-09-19"
2182,158,"2023-09-19 19:00:00",2,Barcelona,Royal Antwerp FC,2,5,"2","3.5","2023-09-19"
2183,158,"2023-09-19 19:00:00",2,FC Shakhtar Donetsk,FC Porto,1,3,-0.75,"2.75","2023-09-19"
2184,6,"2023-09-19 19:00:00",2,Sheffield Wed.,Middlesbrough,23,24,-0.75,"2.5","2023-09-19"
2185,103,"2023-09-19 21:45:00",2,Central Cordoba SDE,Boca Juniors,23,7,-0.75,"2","2023-09-19"
